state_code,decade,population,source
AL,1910,2272000,extrapolated_from_1930_1940
AL,1920,2459000,extrapolated_from_1930_1940
AL,1930,2646000,census
AL,1940,2833000,census
AL,1950,3062000,census
AL,1960,3267000,census
AL,1970,3444000,census
AL,1980,3894000,census
AL,1990,4041000,census
AL,2000,4447000,census
AL,2010,4779000,census
AK,1910,31000,extrapolated_from_1930_1940
AK,1920,45000,extrapolated_from_1930_1940
AK,1930,59000,census
AK,1940,73000,census
AK,1950,129000,census
AK,1960,226000,census
AK,1970,303000,census
AK,1980,402000,census
AK,1990,550000,census
AK,2000,627000,census
AK,2010,710000,census
AZ,1910,310000,extrapolated_from_1930_1940
AZ,1920,373000,extrapolated_from_1930_1940
AZ,1930,436000,census
AZ,1940,499000,census
AZ,1950,750000,census
AZ,1960,1302000,census
AZ,1970,1771000,census
AZ,1980,2718000,census
AZ,1990,3665000,census
AZ,2000,5131000,census
AZ,2010,6392000,census
AR,1910,1664000,extrapolated_from_1930_1940
AR,1920,1759000,extrapolated_from_1930_1940
AR,1930,1854000,census
AR,1940,1949000,census
AR,1950,1910000,census
AR,1960,1786000,census
AR,1970,1923000,census
AR,1980,2286000,census
AR,1990,2351000,census
AR,2000,2673000,census
AR,2010,2916000,census
CA,1910,3217000,extrapolated_from_1930_1940
CA,1920,4447000,extrapolated_from_1930_1940
CA,1930,5677000,census
CA,1940,6907000,census
CA,1950,10586000,census
CA,1960,15717000,census
CA,1970,19953000,census
CA,1980,23668000,census
CA,1990,29760000,census
CA,2000,33872000,census
CA,2010,37254000,census
CO,1910,862000,extrapolated_from_1930_1940
CO,1920,949000,extrapolated_from_1930_1940
CO,1930,1036000,census
CO,1940,1123000,census
CO,1950,1326000,census
CO,1960,1754000,census
CO,1970,2207000,census
CO,1980,2890000,census
CO,1990,3294000,census
CO,2000,4301000,census
CO,2010,5029000,census
CT,1910,1403000,extrapolated_from_1930_1940
CT,1920,1505000,extrapolated_from_1930_1940
CT,1930,1607000,census
CT,1940,1709000,census
CT,1950,2007000,census
CT,1960,2535000,census
CT,1970,3032000,census
CT,1980,3108000,census
CT,1990,3287000,census
CT,2000,3406000,census
CT,2010,3574000,census
DE,1910,180000,extrapolated_from_1930_1940
DE,1920,209000,extrapolated_from_1930_1940
DE,1930,238000,census
DE,1940,267000,census
DE,1950,318000,census
DE,1960,446000,census
DE,1970,548000,census
DE,1980,594000,census
DE,1990,666000,census
DE,2000,784000,census
DE,2010,897000,census
FL,1910,610000,extrapolated_from_1930_1940
FL,1920,1039000,extrapolated_from_1930_1940
FL,1930,1468000,census
FL,1940,1897000,census
FL,1950,2771000,census
FL,1960,4952000,census
FL,1970,6789000,census
FL,1980,9747000,census
FL,1990,12938000,census
FL,2000,15982000,census
FL,2010,18801000,census
GA,1910,2479000,extrapolated_from_1930_1940
GA,1920,2694000,extrapolated_from_1930_1940
GA,1930,2909000,census
GA,1940,3124000,census
GA,1950,3445000,census
GA,1960,3943000,census
GA,1970,4590000,census
GA,1980,5463000,census
GA,1990,6478000,census
GA,2000,8186000,census
GA,2010,9688000,census
HI,1910,258000,extrapolated_from_1930_1940
HI,1920,313000,extrapolated_from_1930_1940
HI,1930,368000,census
HI,1940,423000,census
HI,1950,500000,census
HI,1960,633000,census
HI,1970,770000,census
HI,1980,965000,census
HI,1990,1108000,census
HI,2000,1212000,census
HI,2010,1360000,census
ID,1910,285000,extrapolated_from_1930_1940
ID,1920,365000,extrapolated_from_1930_1940
ID,1930,445000,census
ID,1940,525000,census
ID,1950,589000,census
ID,1960,667000,census
ID,1970,713000,census
ID,1980,944000,census
ID,1990,1007000,census
ID,2000,1294000,census
ID,2010,1568000,census
IL,1910,7099000,extrapolated_from_1930_1940
IL,1920,7365000,extrapolated_from_1930_1940
IL,1930,7631000,census
IL,1940,7897000,census
IL,1950,8712000,census
IL,1960,10081000,census
IL,1970,11114000,census
IL,1980,11427000,census
IL,1990,11431000,census
IL,2000,12419000,census
IL,2010,12831000,census
IN,1910,2861000,extrapolated_from_1930_1940
IN,1920,3050000,extrapolated_from_1930_1940
IN,1930,3239000,census
IN,1940,3428000,census
IN,1950,3934000,census
IN,1960,4662000,census
IN,1970,5194000,census
IN,1980,5490000,census
IN,1990,5544000,census
IN,2000,6080000,census
IN,2010,6484000,census
IA,1910,2337000,extrapolated_from_1930_1940
IA,1920,2404000,extrapolated_from_1930_1940
IA,1930,2471000,census
IA,1940,2538000,census
IA,1950,2621000,census
IA,1960,2758000,census
IA,1970,2825000,census
IA,1980,2914000,census
IA,1990,2777000,census
IA,2000,2926000,census
IA,2010,3046000,census
KS,1910,2041000,extrapolated_from_1930_1940
KS,1920,1961000,extrapolated_from_1930_1940
KS,1930,1881000,census
KS,1940,1801000,census
KS,1950,1905000,census
KS,1960,2179000,census
KS,1970,2247000,census
KS,1980,2364000,census
KS,1990,2478000,census
KS,2000,2688000,census
KS,2010,2853000,census
KY,1910,2153000,extrapolated_from_1930_1940
KY,1920,2384000,extrapolated_from_1930_1940
KY,1930,2615000,census
KY,1940,2846000,census
KY,1950,2945000,census
KY,1960,3038000,census
KY,1970,3219000,census
KY,1980,3661000,census
KY,1990,3685000,census
KY,2000,4042000,census
KY,2010,4339000,census
LA,1910,1578000,extrapolated_from_1930_1940
LA,1920,1840000,extrapolated_from_1930_1940
LA,1930,2102000,census
LA,1940,2364000,census
LA,1950,2684000,census
LA,1960,3257000,census
LA,1970,3641000,census
LA,1980,4206000,census
LA,1990,4220000,census
LA,2000,4469000,census
LA,2010,4533000,census
ME,1910,697000,extrapolated_from_1930_1940
ME,1920,747000,extrapolated_from_1930_1940
ME,1930,797000,census
ME,1940,847000,census
ME,1950,914000,census
ME,1960,969000,census
ME,1970,993000,census
ME,1980,1125000,census
ME,1990,1228000,census
ME,2000,1275000,census
ME,2010,1328000,census
MD,1910,1254000,extrapolated_from_1930_1940
MD,1920,1443000,extrapolated_from_1930_1940
MD,1930,1632000,census
MD,1940,1821000,census
MD,1950,2343000,census
MD,1960,3101000,census
MD,1970,3922000,census
MD,1980,4217000,census
MD,1990,4781000,census
MD,2000,5296000,census
MD,2010,5774000,census
MA,1910,4116000,extrapolated_from_1930_1940
MA,1920,4183000,extrapolated_from_1930_1940
MA,1930,4250000,census
MA,1940,4317000,census
MA,1950,4691000,census
MA,1960,5149000,census
MA,1970,5689000,census
MA,1980,5737000,census
MA,1990,6016000,census
MA,2000,6349000,census
MA,2010,6548000,census
MI,1910,4014000,extrapolated_from_1930_1940
MI,1920,4428000,extrapolated_from_1930_1940
MI,1930,4842000,census
MI,1940,5256000,census
